governorID,name,Alliance,power,killpoints,highestPower,deads,t1_kills,t1_KP,t2_kills,t2_KP,t3_kills,t3_KP,t4_kills,t4_KP,t5_kills,t5_KP
563754,husita,[DoS]Dawn of Spartans,"81,551,406","473,106,372","112,307,255","17,728,231","1,335,371","267,074","261,699","523,398","163,190","652,760","14,641,960","146,419,600","16,262,177","325,243,540"
62201754,“KILL ULGYY,[DoS]Dawn of Spartans,"79,547,358","2,241,884,481","83,709,398","12,785,447","33,815,598","6,763,119","6,306,124","12,612,248","4,916,511","19,666,044","75,142,911","751,429,110","72,570,698","1,451,413,960"
61608078,Roxanna Rosee,[DoS]Dawn of Spartans,"79,253,642","959,134,551","79,253,642","9,585,820","124,119","624,823","2,036,990","4,073,980","4,536,152","18,144,608","42,982,518","429,825,180","25,323,298","506,465,960"
47606843,SlimShadyyy,[DoS]Dawn of Spartans,"78,823,034","2,156,014,423","85,000,874","15,325,684","89,464,519","17,892,903","6,295,543","12,591,086","194,831","32,779,324","116,807,537","1,168,075,370","46,233,787","924,675,740"
10465093,Ts Skxll,[DoS]Dawn of Spartans,"78,798,951","364,325,643","86,916,042","8,476,512","3,443,997","688,799","535,304","1,070,608","550,249","2,200,996","10,099,482","100,994,820","12,968,521","259,370,420"
61348805,Frank White,[DoS]Dawn of Spartans,"77,363,996","1,268,109,824","93,200,220","16,923,783","3,389,301","677,860","2,624,204","5,248,408","2,531,654","10,126,616","44,876,160","448,761,600","40,164,767","803,295,340"
373404,ALEXANDR VELIK',[DoS]Dawn of Spartans,"75,268,754","264,408,860","85,018,179","13,974,041","644,471","128,894","573,252","1,146,504","718,218","2,872,872","10,040,691","100,406,910","7,992,684","159,853,680"
68725261,KR Binyo 69,[DoS]Dawn of Spartans,"72,328,018","605,228,613","72,375,256","9,455,048","674,989","134,997","88,798","177,596","148,260","593,040","18,028,436","180,284,360","21,201,931","424,038,620"
377047,TheGamer,[DoS]Dawn of Spartans,"72,005,352","972,073,880","74,637,691","11,346,118","41,698,934","8,339,786","176,792","353,584","62,450","249,800","25,703,577","257,035,770","35,304,747","706,094,940"
115512421,Govern Xo,[DoS]Dawn of Spartans,"71,643,704","820,184,652","77,862,440","8,430,108","9,667,413","1,933,482","3,679,066","7,358,132","2,827,772","11,311,088","33,754,765","337,547,650","23,101,715","462,034,300"
64090333,Naji Haddad,[57Tp]Tolla Prime,"68,461,780","138,751,242","73,172,717","16,136,073","189,274","17,854","103,044","206,088","540,130","2,160,520","5,125,188","51,251,880","4,255,745","85,114,900"
54092714,LegionsNeverDie,,"67,160,370","186,725,362","79,117,875","6,581,329","829,460","165,892","1,865,328","3,730,656","037,241","12,148,964","8,160,855","81,608,550","4,453,565","89,071,300"
50446293,TorisS,[DoS]Dawn of Spartans,"67,066,765","171,678,433","76,010,712","13,094,004","128,067","25,613","153,487","306,974","21,879","87,516","4,150,263","41,502,630","6,487,785","129,755,700"
147575578,AceSneakings,,"64,945,215","360,350,608","66,001,259","2,025,893","468,010","93,602","465,433","930,866","523,540","2,094,160","11,693,560","116,935,600","12,014,819","240,296,380"
72847287,Dre-lron DX,,"64,869,799","163,399,233","75,186,785","9,040,036","181,616","16,323","53,067","106,134","35,749","142,996","8,061,730","80,617,300","4,125,824","82,516,480"
108541029,XRoid RaGe,[57Tp]Tolla Prime,"64,775,268","317,324,522","68,217,102","4,416,408","451,893","90,378","439,922","879,844","628,825","2,515,300","8,424,070","84,240,700","11,479,915","229,598,300"
18139223,Titybump,[57Tp]Tolla Prime,"64,516,623","547,084,758","77,452,748","15,022,812","1,696,660","339,332","538,491","1,076,982","480,816","1,923,264","20,618,000","206,180,000","16,878,259","337,565,180"
366684,Devil007,[DA7]ReddDevils,"63,468,731","92,928,784","97,748,731","12,259,713","4.
84,122","16,824","49,308","98,616",166,"36,664","3,324,548","33,245,480","2,976,560","59,531,200"
91192129,HITMAN ¥,[57Tp]Tolla Prime,"63,197,880","480,681,603","74,299,238","10,134,187","16,026,248","3,205,249","2,141,736","4,283,472","1,280,368","5,121,472","16,631,387","166,313,870","15,087,877","301,757,540"
63129483,K Handini,[DoS]Dawn of Spartans,"62,834,575","490,374,135","88,704,382","18,869,222","51,803,537","10,360,707","1,591,152","3,182,304","2,445,736","9,782,944","20,667,226","206,672,260","13,018,796","260,375,920"
56139747,—kenshin—,[DoS]Dawn of Spartans,"62,316,318","991,202,655","64,162,190","16,806,893","12,310,795","2,462,159","6,071,095","12,142,190","15,565,299","62,261,196","42,117,659","421,176,590","24,658,026","493,160,520"
102434413,+ TYRANT «,[DoS]Dawn of Spartans,"63,022,354","463,951,107","63,168,488","5,490,093","4,656,999","931,399","7,306,419","14,612,838","941,615","27,766,460","32,358,789","323,587,890","4,852,626","97,052,520"
74297428,ednull555,[G$52]The Goon Squad,"61,862,165","45,461,926","64,153,141","3,842,834","168,083","33,616","500,461","1,000,922","593,037","2,372,148","1,910,652","19,106,520","1,147,436","22,948,720"
366368,VlaDiK,,"63,748,265","84,745,958","78,327,389","6,010,252","316,563","63,312","17,220","34,440","61,119","244,476","5,101,669","51,016,690","1,669,352","33,387,040"
